symptoms,disease
fever,viral fever
high fever,viral fever
body pain,viral fever
headache,viral fever
fever high fever,viral fever
fever body pain,viral fever
fever headache,viral fever
fever weakness,viral fever
fever fatigue,viral fever
high fever body pain,viral fever
high fever headache,viral fever
high fever weakness,viral fever
high fever fatigue,viral fever
body pain headache,viral fever
body pain weakness,viral fever
body pain fatigue,viral fever
headache weakness,viral fever
headache fatigue,viral fever
weakness fatigue,viral fever
fever high fever body pain,viral fever
high fever body pain headache,viral fever
body pain headache weakness,viral fever
headache weakness fatigue,viral fever
fever high fever body pain headache weakness fatigue,viral fever
cough,common cold
sore throat,common cold
runny nose,common cold
sneezing,common cold
cough sore throat,common cold
cough runny nose,common cold
cough sneezing,common cold
cough nasal congestion,common cold
cough mild fever,common cold
sore throat runny nose,common cold
sore throat sneezing,common cold
sore throat nasal congestion,common cold
sore throat mild fever,common cold
runny nose sneezing,common cold
runny nose nasal congestion,common cold
runny nose mild fever,common cold
sneezing nasal congestion,common cold
sneezing mild fever,common cold
nasal congestion mild fever,common cold
cough sore throat runny nose,common cold
sore throat runny nose sneezing,common cold
runny nose sneezing nasal congestion,common cold
sneezing nasal congestion mild fever,common cold
cough sore throat runny nose sneezing nasal congestion mild fever,common cold
high fever,influenza
body pain,influenza
chills,influenza
dry cough,influenza
high fever body pain,influenza
high fever chills,influenza
high fever dry cough,influenza
high fever fatigue,influenza
high fever headache,influenza
body pain chills,influenza
body pain dry cough,influenza
body pain fatigue,influenza
body pain headache,influenza
chills dry cough,influenza
chills fatigue,influenza
chills headache,influenza
dry cough fatigue,influenza
dry cough headache,influenza
fatigue headache,influenza
high fever body pain chills,influenza
body pain chills dry cough,influenza
chills dry cough fatigue,influenza
dry cough fatigue headache,influenza
high fever body pain chills dry cough fatigue headache,influenza
high fever,malaria
chills,malaria
sweating,malaria
body pain,malaria
high fever chills,malaria
high fever sweating,malaria
high fever body pain,malaria
high fever vomiting,malaria
high fever weakness,malaria
chills sweating,malaria
chills body pain,malaria
chills vomiting,malaria
chills weakness,malaria
sweating body pain,malaria
sweating vomiting,malaria
sweating weakness,malaria
body pain vomiting,malaria
body pain weakness,malaria
vomiting weakness,malaria
high fever chills sweating,malaria
chills sweating body pain,malaria
sweating body pain vomiting,malaria
body pain vomiting weakness,malaria
high fever chills sweating body pain vomiting weakness,malaria
high fever,dengue
severe headache,dengue
joint pain,dengue
rash,dengue
high fever severe headache,dengue
high fever joint pain,dengue
high fever rash,dengue
high fever body pain,dengue
high fever fatigue,dengue
severe headache joint pain,dengue
severe headache rash,dengue
severe headache body pain,dengue
severe headache fatigue,dengue
joint pain rash,dengue
joint pain body pain,dengue
joint pain fatigue,dengue
rash body pain,dengue
rash fatigue,dengue
body pain fatigue,dengue
high fever severe headache joint pain,dengue
severe headache joint pain rash,dengue
joint pain rash body pain,dengue
rash body pain fatigue,dengue
high fever severe headache joint pain rash body pain fatigue,dengue
fever,typhoid
weakness,typhoid
stomach pain,typhoid
loss of appetite,typhoid
fever weakness,typhoid
fever stomach pain,typhoid
fever loss of appetite,typhoid
fever headache,typhoid
weakness stomach pain,typhoid
weakness loss of appetite,typhoid
weakness headache,typhoid
stomach pain loss of appetite,typhoid
stomach pain headache,typhoid
loss of appetite headache,typhoid
fever weakness stomach pain,typhoid
weakness stomach pain loss of appetite,typhoid
stomach pain loss of appetite headache,typhoid
loss of appetite headache fever,typhoid
fever weakness stomach pain loss of appetite headache,typhoid
headache,sinusitis
facial pain,sinusitis
nasal congestion,sinusitis
runny nose,sinusitis
headache facial pain,sinusitis
headache nasal congestion,sinusitis
headache runny nose,sinusitis
headache post nasal drip,sinusitis
facial pain nasal congestion,sinusitis
facial pain runny nose,sinusitis
facial pain post nasal drip,sinusitis
nasal congestion runny nose,sinusitis
nasal congestion post nasal drip,sinusitis
runny nose post nasal drip,sinusitis
headache facial pain nasal congestion,sinusitis
facial pain nasal congestion runny nose,sinusitis
nasal congestion runny nose post nasal drip,sinusitis
runny nose post nasal drip headache,sinusitis
headache facial pain nasal congestion runny nose post nasal drip,sinusitis
headache,migraine
nausea,migraine
vomiting,migraine
sensitivity to light,migraine
headache nausea,migraine
headache vomiting,migraine
headache sensitivity to light,migraine
headache blurred vision,migraine
nausea vomiting,migraine
nausea sensitivity to light,migraine
nausea blurred vision,migraine
vomiting sensitivity to light,migraine
vomiting blurred vision,migraine
sensitivity to light blurred vision,migraine
headache nausea vomiting,migraine
nausea vomiting sensitivity to light,migraine
vomiting sensitivity to light blurred vision,migraine
sensitivity to light blurred vision headache,migraine
headache nausea vomiting sensitivity to light blurred vision,migraine
headache,tension headache
stress,tension headache
neck pain,tension headache
fatigue,tension headache
headache stress,tension headache
headache neck pain,tension headache
headache fatigue,tension headache
stress neck pain,tension headache
stress fatigue,tension headache
neck pain fatigue,tension headache
headache stress neck pain,tension headache
stress neck pain fatigue,tension headache
neck pain fatigue headache,tension headache
fatigue headache stress,tension headache
headache stress neck pain fatigue,tension headache
breathlessness,asthma
wheezing,asthma
cough,asthma
chest tightness,asthma
breathlessness wheezing,asthma
breathlessness cough,asthma
breathlessness chest tightness,asthma
wheezing cough,asthma
wheezing chest tightness,asthma
cough chest tightness,asthma
breathlessness wheezing cough,asthma
wheezing cough chest tightness,asthma
cough chest tightness breathlessness,asthma
chest tightness breathlessness wheezing,asthma
breathlessness wheezing cough chest tightness,asthma
cough,bronchitis
chest pain,bronchitis
mucus,bronchitis
fatigue,bronchitis
cough chest pain,bronchitis
cough mucus,bronchitis
cough fatigue,bronchitis
cough mild fever,bronchitis
chest pain mucus,bronchitis
chest pain fatigue,bronchitis
chest pain mild fever,bronchitis
mucus fatigue,bronchitis
mucus mild fever,bronchitis
fatigue mild fever,bronchitis
cough chest pain mucus,bronchitis
chest pain mucus fatigue,bronchitis
mucus fatigue mild fever,bronchitis
fatigue mild fever cough,bronchitis
cough chest pain mucus fatigue mild fever,bronchitis
high fever,pneumonia
cough,pneumonia
breathlessness,pneumonia
chest pain,pneumonia
high fever cough,pneumonia
high fever breathlessness,pneumonia
high fever chest pain,pneumonia
high fever fatigue,pneumonia
cough breathlessness,pneumonia
cough chest pain,pneumonia
cough fatigue,pneumonia
breathlessness chest pain,pneumonia
breathlessness fatigue,pneumonia
chest pain fatigue,pneumonia
high fever cough breathlessness,pneumonia
cough breathlessness chest pain,pneumonia
breathlessness chest pain fatigue,pneumonia
chest pain fatigue high fever,pneumonia
high fever cough breathlessness chest pain fatigue,pneumonia
cough,respiratory infection
breathlessness,respiratory infection
chest pain,respiratory infection
fever,respiratory infection
cough breathlessness,respiratory infection
cough chest pain,respiratory infection
cough fever,respiratory infection
breathlessness chest pain,respiratory infection
breathlessness fever,respiratory infection
chest pain fever,respiratory infection
cough breathlessness chest pain,respiratory infection
